@relation trainingSet

@attribute Document string
@attribute @@class@@ {AuthenticationBypass, CrossSiteScripting, DenialOfService, DirectoryTraversal, FileInclude, InformationDisclosure, Overflow, RemoteCodeExecution, SQLinjection,UnspecifiedVulnerability}

@data
"forum list befor doe properli check user permiss unpublish forum post which remot authent user obtain sensit inform post titl forum overview page ", InformationDisclosure
"displai inform block user which might remot attack obtain sensit inform read search result ", InformationDisclosure
"remot attack obtain sensit inform direct request php file which reveal instal path error messag demonstr certain other file ", InformationDisclosure
"render cach system befor when us cach content user role remot authent user obtain privat content view user read cach ", InformationDisclosure
"taxonomi modul befor when upgrad from earlier version doe properli restrict access unpublish content which remot authent user obtain sensit inform list page ", InformationDisclosure
"allow form submiss redirect which remot attack obtain arbitrari form inform craft url ", InformationDisclosure
"have you forgotten your password link user modul befor allow remot attack obtain sensit usernam inform leverag configur permit us email address login modul permit log ", InformationDisclosure
"organ group og remot attack obtain sensit inform privat group name unspecifi vector ", InformationDisclosure
"system modul befor might remot attack hijack authent site administr request download run file arbitrari json encod content aka reflect file download vulner ", InformationDisclosure
"doe properli isol cach data differ anonym user which remot anonym user obtain sensit interim form input inform opportunist situat unspecifi vector ", InformationDisclosure
"parser befor remot attack obtain sensit inform craft request which reveal full path error messag ", InformationDisclosure
"remot attack obtain sensit inform craft request which reveal full path error messag ", InformationDisclosure
"doe place list which remot authent user bypass intend restrict read arbitrari http request consequ discov session id valu craft web applic ", InformationDisclosure
"mapper compon befor process redirect consid secur constraint filter which remot attack determin exist directori url lack trail slash charact ", InformationDisclosure
"remot attack obtain sensit inform craft request which reveal full path error messag ", InformationDisclosure
"function client allow remot server obtain sensit inform from process memori request transmiss entir buffer demonstr read privat kei ", InformationDisclosure
"bundl jira servic desk instal attach wrong imag e mail notif when user view issu inlin wiki markup referenc imag attach which might remot attack obtain sensit inform updat differ issu includ wiki markup extern imag refer ", InformationDisclosure
"ldb us ad ldap server befor mishandl string length which remot attack obtain sensit inform from daemon heap memori send craft packet read error messag databas valu ", InformationDisclosure
"befor remot attack obtain sensit inform craft request which reveal full path error messag ", InformationDisclosure
"microsoft net framework when customerror configur disabl remot attack obtain sensit configur file inform craft request aka inform disclosur vulner ", InformationDisclosure
"function reli pid valu initi which make easier context depend attack predict result string leverag knowledg random string obtain earlier process same pid ", InformationDisclosure
"doe reset random seed upon fork which make easier context depend attack predict random number leverag knowledg number sequenc obtain differ child process relat issu issu exist becaus regress dure develop ", InformationDisclosure
"function when path base author us remot authent user obtain sensit path inform read histori node ha been move from hidden path ", InformationDisclosure
"remot attack obtain sensit inform from process memori caus denial servic buffer over read applic crash craft length valu conjunct craft serial data phar archiv relat function ", InformationDisclosure
"function doe verifi uri properti string which remot attack obtain sensit inform provid craft serial data int data type relat type confus issu ", InformationDisclosure
"through creat world readabl permiss chang them after data ha been written which introduc race condit local user obtain usernam password read file ", InformationDisclosure
"function doe properli handl return valu function which remot attack read process memori caus denial servic read crash malform dn request ", InformationDisclosure
"through linux unix window store password dure process certain sql statement monitor audit facil which remot authent user obtain sensit inform command associ facil ", InformationDisclosure
"snmp implement doe properli handl configur data which remot authent user obtain sensit inform unspecifi vector ", InformationDisclosure
"befor includ invalid languag unknown languag error respons contain csrf token mai sent compress which make easier remot attack conduct breach attack determin token seri craft request ", InformationDisclosure
"dsmtca client tsm local user discov backup restor encrypt kei password unspecifi vector ", InformationDisclosure
"unspecifi vulner compon when run window remot authent user affect vector relat ", InformationDisclosure
"epolici orchestr epo us same secret kei across differ custom instal which attack obtain administr password leverag knowledg encrypt password ", InformationDisclosure
"remot attack spoof openid openid connect cooki consequ obtain sensit inform craft url ", InformationDisclosure
"plugin allow local user obtain sensit inform from ini configur file extra opt flag differ vulner than ", InformationDisclosure
"plugin allow local user obtain sensit inform from ini configur file extra opt flag differ vulner than ", InformationDisclosure
"allow local user obtain sensit inform symlink attack configur file extra opt flag note vulner exist becaus incomplet fix ", InformationDisclosure
"webspher applic doe properli handl header which remot attack obtain sensit cooki authent data unspecifi method ", InformationDisclosure
"beta remot attack obtain metadata about hidden object craft url ", InformationDisclosure
"beta remot attack read arbitrari blob file imag store custom content type craft url ", InformationDisclosure
"beta remot attack read privat data structur request view without name ", InformationDisclosure
"us beta remot attack obtain password vector involv time discrep password valid ", InformationDisclosure
"integ overflow function remot attack caus denial servic stack base buffer overflow possibl have unspecifi other impact craft extract oper zip archiv ", Overflow
"multipl integ overflow mcrypt extens remot attack caus denial servic heap base buffer overflow applic crash possibl have unspecifi other impact craft length valu relat function ", Overflow
"overflow function h remot attack caus denial servic heap memori corrupt larg amount binari data ", Overflow
"overflow function h remot attack caus denial servic heap memori corrupt larg amount data ", Overflow
"overflow befor allow remot attack execut arbitrari code craft edg side includ esi respons ", Overflow
"buffer overflow might remot attack caus denial servic execut arbitrari code seed manag report craft data ", Overflow
"stack base buffer overflow befor allow remot http server caus denial servic execut arbitrari code craft edg side includ esi respons ", Overflow
"integ overflow befor s g remot attack caus denial servic heap memori corrupt null pointer derefer possibl have unspecifi other impact long digit string mishandl function relat ", Overflow
"multipl integ overflow befor remot attack caus denial servic possibl have unspecifi other impact long string function lead heap base buffer overflow ", Overflow
"stack base buffer overflow function remot attack caus denial servic possibl have unspecifi other impact larg length valu demonstr mishandl e mail attach imap extens ", Overflow
"function client when certain proxi forward option enabl do properli maintain connect file descriptor which remot server caus denial servic heap base buffer overflow possibl have unspecifi other impact request mani forward ", Overflow
"overflow function allow remot attack execut arbitrari code svn protocol string which trigger heap base buffer overflow read ", Overflow
"multipl stack base buffer overflow json pars attack caus denial servic server crash unspecifi vector which properli handl json jsonb valu ", Overflow
"stack base buffer overflow through us other product remot authent user execut arbitrari code unspecifi vector ", Overflow
"overflow befor window might local user gain privileg craft valu properli handl when construct filenam backup file ", Overflow
"heap base buffer overflow function befor context depend attack execut arbitrari code unspecifi vector involv string ljust string center string rjust note some detail obtain from third parti inform ", Overflow
"heap base buffer overflow befor trunk revis context depend attack caus denial servic segment fault possibl execut arbitrari code string convert float point valu demonstr us method ", Overflow
"multipl integ overflow befor remot authent user have unspecifi impact vector relat function function which trigger buffer overflow note issu split from becaus ha differ set affect version ", Overflow
"multipl integ overflow other unspecifi function remot authent user have unspecifi impact attack vector which trigger buffer overflow note identifi ha been split due differ affect version us hstore vector ", Overflow
"multipl buffer overflow remot authent user have unspecifi impact attack vector differ vulner than ", Overflow
"multipl stack base buffer overflow remot authent user caus denial servic crash possibl execut arbitrari code vector relat incorrect maxdatelen constant datetim valu involv interv timestamp timezon differ vulner than ", Overflow
"bitsubstr function remot authent user caus denial servic daemon crash have unspecifi other impact vector involv neg integ third argument demonstr select statement contain call substr function bit string relat overflow ", Overflow
"buffer overflow allow remot attack execut arbitrari code ", Overflow
"vulner function earlier local user caus denial servic possibl execut arbitrari code larg neg argument possibl trigger integ signed error buffer overflow ", Overflow
"integ overflow earlier through remot authent user caus denial servic daemon crash select statement mani left join claus relat certain hashtabl size calcul ", Overflow
"heap base buffer overflow repeat function allow attack execut arbitrari code caus repeat gener larg string ", Overflow
"buffer overflow also incorrectli identifi earlier attack caus denial servic possibl execut arbitrari code possibl result integ overflow ", Overflow
"buffer overflow set time zone enivron variabl earlier local user caus denial servic possibl execut arbitrari code ", Overflow
"buffer overflow gettoken function intarrai arrai modul befor remot authent user caus denial servic crash possibl execut arbitrari code integ larg number digit unspecifi function ", Overflow
"buffer overflow earlier mai attack execut arbitrari code larg number argument refcursor function which lead heap base buffer overflow differ vulner than ", Overflow
"multipl buffer overflow earlier mai attack execut arbitrari code larg number variabl sql statement be handl function larg number variabl select statement be handl function larg number arbitrari variabl select statement be handl function larg number variabl fetch statement be handl function differ set than ", Overflow
"overflow odbc driver allow remot attack caus denial servic crash ", Overflow
"integ overflow function remot ftp server execut arbitrari code long repli list command lead heap base buffer overflow ", Overflow
"multipl stack base buffer overflow function allow remot attack execut arbitrari code craft length valu tar phar zip archiv ", Overflow
"multipl integ overflow audioop modul context depend attack caus denial servic applic crash larg fragment demonstr call long string first argument lead buffer overflow note vulner exist becaus incorrect fix ", Overflow
"overflow allow context depend attack obtain sensit inform from process memori larg size offset buffer function ", Overflow
"buffer overflow function befor remot attack execut arbitrari code craft string ", Overflow
"heap base buffer overflow function remot attack execut arbitrari code vector trigger creation multipl dictionari ", Overflow
"reject do us candid number consultid none reason candid withdrawn it cna further investig show cannot consid secur issu origin name product becaus product' specif note none ", Overflow
"integ overflow function earlier us zip extens other product remot attack caus denial servic applic crash possibl execut arbitrari code zip archiv contain mani entri lead heap base buffer overflow ", Overflow
"stack base buffer overflow dsmtca client tsm through through through unix linux os x local user gain privileg unspecifi vector ", Overflow
"stack base buffer overflow function allow remot attack caus denial servic applic crash possibl execut arbitrari code includ timezon field date lead improp xml rpc encod ", Overflow
"integ overflow function remot attack caus denial servic applic crash possibl execut arbitrari code argument unseri function trigger calcul larg length valu ", Overflow
"buffer overflow function mkgmtime implement xmlrpc extens remot attack caus denial servic applic crash craft first argument function craft argument function relat read oper ", Overflow
"error snmphandleudp function when snmp port configur remot attack caus denial servic crash possibl execut arbitrari code craft udp snmp request which trigger heap base buffer overflow ", Overflow
"stack base buffer overflow through through through linux unix window remot authent user execut arbitrari code craft alter modul statement ", Overflow
"overflow function file through us fileinfo compon allow remot attack caus denial servic applic crash craft cdf file note vulner exist becaus incomplet fix ", Overflow
"buffer overflow function allow remot dn server caus denial servic applic crash possibl execut arbitrari code craft dn record relat function function note issu exist becaus incomplet fix ", Overflow
"overflow prefer editor backup archiv client tsm window os x local user caus denial servic applic crash hang unspecifi vector ", Overflow
"multipl buffer overflow befor i remot attack caus denial servic applic crash possibl have unspecifi other impact invalid srp g b paramet ", Overflow
"phar extens remot attack execut arbitrari code craft filenam demonstr mishandl charact function ", RemoteCodeExecution
"format string vulner function remot attack execut arbitrari code format string specifi get call ", RemoteCodeExecution
"implement c remot attack execut arbitrari code caus denial servic buffer underflow memori corrupt ani field craft serial data aka neg zero issu ", RemoteCodeExecution
"microsoft net mishandl librari load which local user gain privileg craft applic aka net remot code execut vulner ", RemoteCodeExecution
"file upload featur befor remot authent user bypass protect mechan execut arbitrari php code null byte file name ", RemoteCodeExecution
"function vb remot attack post comment privileg access multipl input filter execut arbitrari code preview comment which process normal form valid routin ", RemoteCodeExecution
"unrestrict file upload vulner modul befor allow remot authent user execut arbitrari code upload file execut extens which valid ", RemoteCodeExecution
"remot attack obtain sensit inform possibl re instal execut arbitrari code extern databas server relat transient condit ", RemoteCodeExecution
"doe prevent user from modifi user signatur after associ comment format ha been chang administr control input format which remot authent user inject arbitrari web script possibl code craft user signatur ", RemoteCodeExecution
"unknown vulner through remot attack execut arbitrari php code public comment post ", RemoteCodeExecution
"when us might remot attack execut arbitrari code vector relat session data truncat ", RemoteCodeExecution
"befor when us unspecifi third parti modul perform form valid even when csrf valid ha fail which might remot attack trigger applic specif impact arbitrari code execut applic specif vector ", RemoteCodeExecution
"when run under certain apach configur when fileinfo overrid disabl within htaccess remot attack execut arbitrari code upload file multipl extens variant ", RemoteCodeExecution
"earlier doe properli unset variabl when input data includ numer paramet valu match alphanumer parameter' hash valu which remot attack execut arbitrari code invok function through callback paramet default uri demonstr _menu callback callback paramet note could argu vulner due bug unset command proper fix should so should treat vulner ", RemoteCodeExecution
"when configur databas server reachabl remot attack execut arbitrari code vector caus modifi ", RemoteCodeExecution
"intel epolici epo earlier hotfix hotfix remot attack execut arbitrari code craft serial java object relat apach common collect acc librari ", RemoteCodeExecution
"vulner server remot attack execut arbitrari code craft request aka window us after free vulner ", RemoteCodeExecution
"wl secur compon remot attack execut arbitrari command craft serial java object protocol traffic tcp port relat note scope cve limit weblog server product ", RemoteCodeExecution
"method connect through remot attack conduct php object inject attack execut arbitrari php code craft serial object argument paramet ajax api hook ", RemoteCodeExecution
"untrust search path vulner through window local user gain privileg trojan hors file current work directori note vendor sai determin longtim behavior cannot realli alter point ", RemoteCodeExecution
"microsoft net remot attack caus denial servic web site craft request aka mvc denial servic vulner ", RemoteCodeExecution
"net improperli count object perform arrai copi which remot attack execut arbitrari code craft xaml browser applic xbap bypass code access secur restrict craft net applic aka net elev privileg vulner ", RemoteCodeExecution
"default configur enabl dynam script which remot attack execut arbitrari mvel express java code sourc paramet _search note onli violat vendor' intend secur polici user doe run it own independ virtual machin ", RemoteCodeExecution
"webrick through patchlevel through patchlevel through patchlevel write data log file without sanit non printabl charact which might remot attack modifi window' titl possibl execut arbitrari command overwrit file http request contain escap sequenc termin emul ", RemoteCodeExecution
"ryujit compil produc incorrect code dure attempt optim which remot attack execut arbitrari code craft net applic aka ryujit optim elev privileg vulner differ vulner than ", RemoteCodeExecution
"ryujit compil produc incorrect code dure attempt optim which remot attack execut arbitrari code craft net applic aka ryujit optim elev privileg vulner differ vulner than ", RemoteCodeExecution
"valid function procedur languag pl allow remot authent user gain privileg function defin anoth languag allow directli call user due permiss ", RemoteCodeExecution
"pl tcl implement befor befor befor load tcl code from tabl regardless table' ownership permiss which remot authent user databas creation privileg execut arbitrari tcl code creat tabl insert craft tcl script ", RemoteCodeExecution
"through give public execut access certain charact convers function which unprivileg user call those function malici unknown impact aka charact convers vulner ", RemoteCodeExecution
"befor befor befor doe properli restrict pl perl procedur which remot authent user databas creation privileg execut arbitrari perl code craft script relat safe modul aka perl note some sourc report issu same ", RemoteCodeExecution
"doe properli manag session local state dure execut index function databas superus which remot authent user gain privileg tabl craft index function demonstr function modifi prepar statement relat issu ", RemoteCodeExecution
"probabl later version when local trust authent enabl databas link librari dblink instal remot attack access arbitrari account execut arbitrari queri dblink host paramet proxi connect from ", RemoteCodeExecution
"probabl later version when pl pg plpgsql languag ha been creat grant certain plpgsql privileg public domain which remot attack creat execut function demonstr function perform local brute forc password guess attack which mai evad intrus detect ", RemoteCodeExecution
"databas link librari dblink implement function creat statement map arbitrari librari base c program languag which remot authent superus map execut function from ani librari demonstr us system function gain shell access ", RemoteCodeExecution
"saveobject function allow remot attack execut arbitrari command shell metacharact object paramet ", RemoteCodeExecution
"function cupsd perform incorrect free oper multipl valu attribut which remot attack trigger data corrupt refer count string craft request demonstr replac configur file consequ execut arbitrari code ", RemoteCodeExecution
"method doe verifi arrai which remot attack execut arbitrari code provid craft serial data unexpect data type relat type confus issu ", RemoteCodeExecution
"implement truncat pathnam upon encount charact which might remot attack bypass intend extens restrict execut file unexpect name craft first argument note vulner exist becaus incomplet fix ", RemoteCodeExecution
"through befor remot attack execut arbitrari code send craft instruct manag port session ", RemoteCodeExecution
"multipl race condit allow remot authent user gain privileg leverag thread conflict result java code execut outsid context configur ejb run user ", RemoteCodeExecution
"remot attack execut arbitrari code craft http request aka remot code execut vulner ", RemoteCodeExecution
"groovi script engin remot attack bypass sandbox protect mechan execut arbitrari shell command craft script ", RemoteCodeExecution
"netlogon server implement smbd perform free oper uniniti stack pointer which remot attack execut arbitrari code craft netlogon packet us rpc api demonstr packet reach function ", RemoteCodeExecution
"allow remot authent user commit permiss execut arbitrari command shell metacharact filenam ", RemoteCodeExecution
"function remot attack execut arbitrari code caus denial servic uniniti pointer free applic crash craft exif data jpeg imag ", RemoteCodeExecution
"cgi compon through through through when mmap us read php file doe properli consid mapping' length dure process invalid file begin charact lack newlin charact which caus read might remot attack obtain sensit inform from php cgi process memori leverag abil upload php file trigger unexpect code execut valid script present memori locat adjac map ", RemoteCodeExecution
"vulner function remot attack execut arbitrari code craft unseri call leverag improp handl duplic kei within serial properti object differ vulner than ", RemoteCodeExecution
"modul asterisk record interfac ari allow remot attack execut arbitrari code coocki relat php unseri function exploit wild ", RemoteCodeExecution
"beta remot attack execut python code unspecifi vector relat admin interfac ", RemoteCodeExecution
"sandbox whitelist function beta remot authent user certain privileg bypass python sandbox restrict execut arbitrari python code vector relat import ", RemoteCodeExecution
"sql inject vulner befor remot attack execut arbitrari sql command vector relat inappropri placehold numer field ", SQLinjection
"inject vulner comment filter system befor remot attack execut arbitrari command comment ", SQLinjection
"multipl sql inject vb allow remot attack execut arbitrari sql command modul pass input function demonstr ajaxload ubrows contribut modul ", SQLinjection
"sql inject vulner modul earlier remot attack execut arbitrari sql command unspecifi vector ", SQLinjection
"multipl sql inject modul remot attack execut arbitrari sql command unspecifi vector ", SQLinjection
"sql inject vulner befor remot attack execut arbitrari sql command count from variabl b c ", SQLinjection
"sql inject vulner function allow remot attack execut arbitrari sql command comment mishandl after retriev from trash ", SQLinjection
"crlf inject vulner user assist remot attack execut arbitrari sql command craft file contain object name newlin which insert sql script us when databas restor ", SQLinjection
"multibyt support encod consum extra charact when process charact cannot convert which could remov escap charact from queri make applic subject sql inject attack ", SQLinjection
"interact error jdbc driver when us server option enabl default configur doe properli escap unspecifi jdbc statement paramet which remot attack perform sql inject attack note claim upstream develop plan disput issu offici disput ha been post ", SQLinjection
"function databas abstract drupal core doe properli construct prepar statement which remot attack conduct sql inject attack arrai contain craft kei ", SQLinjection
"inject vulner lighttpd allow remot attack execut arbitrari command host name relat ", SQLinjection
"multipl sql inject possibl earlier remot attack remot authent user execut arbitrari sql command macaddress element getuploadpath getkbot soap request id paramet order paramet ", SQLinjection
"sql inject vulner function otr remot attack execut arbitrari sql command vector relat ticket search url ", SQLinjection
"inject befor remot authent user execut arbitrari command scale paramet paramet ", SQLinjection
"multipl sql inject epolici earlier epolici epo extens agent ma remot authent user execut arbitrari sql command uid paramet differ vulner than ", SQLinjection
"sql inject vulner compon epo allow remot attack execut arbitrari sql command craft request over agent server commun channel ", SQLinjection
"replic code possibl through through through through remot authent user execut arbitrari sql command vector relat binari log note oracl ha comment claim from downstream vendor fix incomplet ", SQLinjection
"execut comment featur befor when run certain slave configur which slave run newer version than master remot attack execut arbitrari sql command custom comment ", SQLinjection
"sql inject vulner remot authent user execut arbitrari sql command vector involv creat index indextyp ", SQLinjection
"sql inject vulner manag remot attack execut arbitrari sql command usernam paramet ", SQLinjection
"sql inject vulner gui manag consol befor remot attack execut arbitrari sql command usernam paramet ", SQLinjection
"doe properli perform temporari chang direct dure import environ variabl which make easier remot attack conduct sql inject attack craft request relat ", SQLinjection
"sql inject vulner remot attack execut arbitrari sql command paramet addcat action ", SQLinjection
"sql inject vulner allow remot authent administr execut arbitrari sql command paramet possibl other unspecifi compon ", SQLinjection
"sql inject vulner server earlier remot attack execut arbitrari sql command input filter variabl which store data xml file ", SQLinjection
"sql inject vulner earlier remot attack execut arbitrari sql command paramet ", SQLinjection
"multipl sql inject multi user mu allow remot attack execut arbitrari sql command paramet method xmlrpc interfac other unspecifi paramet relat earli databas escap miss valid queri string like paramet ", SQLinjection
"unspecifi vulner compon remot authent user affect integr unknown vector relat servic level agreement ", SQLinjection
"sql inject vulner function allow remot authent user execut arbitrari sql command send trackback field ", SQLinjection
"unspecifi vulner compon remot authent user affect integr relat ", SQLinjection
"sql inject vulner allow remot attack execut arbitrari sql command searchstr paramet ", SQLinjection
"sql inject vulner cart through remot attack execut arbitrari sql command shipkei paramet ", SQLinjection
"multipl sql inject earlier remot attack execut arbitrari sql command gpc data function which can leverag modifi element remot authent user execut arbitrari sql command session id within cooki quantiti field function id paramet when ad item shop cart redempt code when check out paramet ", SQLinjection
"inject vulner remot attack execut arbitrari command productid paramet ", SQLinjection
"sql inject vulner oscommerc onlin remot attack execut arbitrari sql command paramet ", SQLinjection
"sql inject vulner earlier remot attack execut arbitrari sql command paramet ", SQLinjection
"sql inject vulner allow remot attack execut arbitrari sql command order paramet ", SQLinjection
"multipl sql inject allow remot attack execut arbitrari sql command search paramet phpcoinsessid paramet id ", SQLinjection
"sql inject vulner zen patch possibl other version remot attack execut arbitrari sql paramet ", SQLinjection
"sql inject vulner allow remot attack execut arbitrari sql command phpcoinsessid cooki ", SQLinjection
"sql inject through when disabl remot attack execut arbitrari sql command id paramet when ad updat shop cart ", SQLinjection
"sql inject vulner function through when disabl remot attack execut arbitrari sql command arrai paramet action differ vulner than ", SQLinjection
"multipl sql inject might remot attack execut arbitrari sql command unspecifi paramet certain other file includ directori relat miss sanit option variabl possibl cooki modif ", SQLinjection
"inject through remot attack execut arbitrari command faq mod id paramet page mod id paramet siteinfo paramet articl order paramet domain paramet invoic ", SQLinjection
"cross site script xss vulner through remot attack inject arbitrari web script html new paramet w paramet e paramet o paramet possibl other script ", SQLinjection
"sql inject vulner allow remot attack execut arbitrari sql command page paramet ", SQLinjection
"inject vulner aka addit imag modul oscommerc remot attack execut arbitrari command paramet ", SQLinjection
"sql inject vulner oscommerc remot attack execut arbitrari sql command id arrai paramet ", SQLinjection
"inject phpgroupwar phpgw allow remot attack execut arbitrari command unspecifi paramet phpgwapi inc ", SQLinjection
"unspecifi vulner earlier remot authent user affect avail vector relat server optim ", UnspecifiedVulnerability
"vulner earlier earlier earlier mariadb allow remot authent user affect avail vector relat server type ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier remot authent user affect avail vector relat server secur encrypt ", UnspecifiedVulnerability
"vulner earlier earlier earlier mariadb allow remot attack affect vector relat server secur encrypt ", UnspecifiedVulnerability
"unspecifi vulner earlier remot authent user affect avail vector relat server optim ", UnspecifiedVulnerability
"unspecifi vulner earlier remot administr affect avail vector relat server replic ", UnspecifiedVulnerability
"vulner earlier earlier earlier mariadb allow remot authent user affect avail vector relat server dml ", UnspecifiedVulnerability
"mishandl c bitwis shift oper exce size express which make easier remot attack defeat cryptograph protect mechan leverag improp rsa kei generux platform ", UnspecifiedVulnerability
"function sshd through when uselogin featur enabl pam configur read file user home directori local user gain privileg trigger craft environ bin login program demonstr environ variabl ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat dml ", UnspecifiedVulnerability
"unspecifi vulner compon local user affect integr unknown vector differ vulner than ", UnspecifiedVulnerability
"netlogon servic when domain control configur remot attack spoof comput name secur channel' endpoint obtain sensit session inform run craft applic leverag abil sniff network traffic relat issu ", UnspecifiedVulnerability
"unspecifi vulner compon allow remot attack affect integr vector relat consol ", UnspecifiedVulnerability
"unspecifi vulner compon local user affect integr unknown vector differ vulner than ", UnspecifiedVulnerability
"unspecifi vulner compon remot attack affect integr vector relat consol differ vulner than ", UnspecifiedVulnerability
"unspecifi vulner compon remot attack affect integr vector relat core compon ", UnspecifiedVulnerability
"unspecifi vulner compon remot attack affect integr vector relat consol differ vulner than ", UnspecifiedVulnerability
"unspecifi vulner compon server remot attack affect avail unknown vector ", UnspecifiedVulnerability
"unspecifi vulner compon remot attack affect integr avail unknown vector ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier mariadb allow local user affect avail vector relat innodb ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat lock ", UnspecifiedVulnerability
"unspecifi vulner compon remot attack affect integr vector relat consol ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat ft ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat optim ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect vector relat json ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat innodb differ vulner than ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat innodb differ vulner than ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat optim ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect avail vector relat myisam ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat partit ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat perform schema ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier local user affect avail vector relat option ", UnspecifiedVulnerability
"vulner earlier earlier earlier mariadb allow local user affect avail vector relat secur privileg ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect avail vector relat ddl ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect avail vector relat dml ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect avail vector relat ft ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect integr avail vector relat dml ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier local user affect integr avail vector relat feder ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect vector relat dml ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect avail vector relat ps ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect avail vector relat ps ", UnspecifiedVulnerability
"unspecifi vulner earlier local user affect avail vector relat optim ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier mariadb allow local user affect avail vector relat innodb ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier earlier mariadb allow local user affect avail vector relat replic ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier remot attack affect integr avail vector relat pluggabl authent ", UnspecifiedVulnerability
"unspecifi vulner earlier earlier local user affect avail vector relat secur encrypt ", UnspecifiedVulnerability
"unspecifi vulner compon remot attack affect integr avail vector relat java messag servic ", UnspecifiedVulnerability
"microsoft mishandl signatur valid unspecifi element xml document which remot attack spoof signatur modifi document aka net xml valid secur featur bypass ", UnspecifiedVulnerability
"xml rpc system befor might make easier remot attack conduct brute forc attack larg number call made onc same method ", UnspecifiedVulnerability
"befor remot attack have unspecifi impact craft doctyp declar xrd document ", UnspecifiedVulnerability
